model,rmse,mae,mape,method,horizon,update_frequency
holt_winters,1460.82237544633,1120.331529935233,0.38061576854348916,Rolling (1-step),1,1
holt_winters,12399.183195007387,9930.824337915119,3.2945530349385654,Static (60-step),60,0
moving_average,7540.774319936755,6244.3703817888,2.1152366185859988,Rolling (1-step),1,1
moving_average,28074.934967272715,24320.610462016775,8.082059754914452,Static (60-step),60,0
naive,4503.082310783662,3312.7087819076114,1.1256890761127125,Rolling (1-step),1,1
naive,29586.13846885893,25883.387596927558,8.61085641389417,Static (60-step),60,0
seasonal_naive,11105.617974465007,9310.877497811298,3.1442849968077224,Rolling (1-step),1,1
seasonal_naive,27727.765402574845,24058.36645055046,8.011766328210236,Static (60-step),60,0
